id,team,team_name,position,now_cost,bonus_scaled,expected_goal_involvements_scaled,fixture_score,form_scaled,ict_index_scaled,individual_captain_ceiling,minutes_security,minutes_security_scaled,next_fixture_score,points_per_game_scaled,team_attack_score,team_defence_score,xgi_per_90_scaled,snapshot_gameweek,snapshot_saved_utc
1,1,Arsenal,goalkeeper,60,0,0,0,0.42105263157894735,0.074534161,0.29341832842977006,0.6666666666666666,0.6666666666666666,0,0.42105263157894735,0,0,0,2,2026-08-28T20:09:31.803525+00:00
2,1,Arsenal,goalkeeper,50,0,0,0,0.10526315789473684,0,0.063157895,0,0,0,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
3,1,Arsenal,goalkeeper,50,0,0,0,0.10526315789473684,0,0.063157895,0,0,0,0.10526315789473684,0,0,0,2,2026-08-28T20:09:31.803525+00:00
4,1,Arsenal,defender,80,0,0.035714286,0,0.3684210526315789,0.055900621,0.2673186843667393,0.6666666666666666,0.6666666666666666,0,0.3684210526315789,0,0,0.029370629370629373,2,2026-08-28T20:09:31.803525+00:00
7,1,Arsenal,midfielder,55,0,0.1011904761904762,0,0.2631578947368421,0.2546583850931677,0.23749810448895117,0.6666666666666666,0.6666666666666666,0,0.2631578947368421,0,0,0.083216783,2,2026-08-28T20:09:31.803525+00:00
8,1,Arsenal,defender,56,0,0.077380952,0,0.5789473684210527,0.2608695652173913,0.4209827344767276,0.5925925925925926,0.5925925925925926,0,0.5789473684210527,0,0,0.071590909,2,2026-08-28T20:09:31.803525+00:00
9,1,Arsenal,defender,54,0,0,0,0.15789473684210525,0.00621118,0.098691293,0.066666667,0.066666667,0,0.15789473684210525,0,0,0,2,2026-08-28T20:09:31.803525+00:00
10,1,Arsenal,defender,55,0.6666666666666666,0.23214285714285715,0,0.6842105263157895,0.45341614906832295,0.5369285367569121,0.6666666666666666,0.6666666666666666,0,0.6842105263157895,0,0,0.1909090909090909,2,2026-08-28T20:09:31.803525+00:00
11,1,Arsenal,defender,55,0,0,0,0.42105263157894735,0.093167702,0.2952816824670372,0.6666666666666666,0.6666666666666666,0,0.42105263157894735,0,0,0,2,2026-08-28T20:09:31.803525+00:00
12,1,Arsenal,midfielder,95,0.3333333333333333,0.42857142857142855,0,0.5789473684210527,0.6335403726708073,0.5538965258221381,0.4962962962962963,0.4962962962962963,0,0.5789473684210527,0,0,0.4734370107504436,2,2026-08-28T20:09:31.803525+00:00
13,1,Arsenal,midfielder,75,0,0.089285714,0,0.2631578947368421,0.093167702,0.2166844994865077,0.4962962962962963,0.4962962962962963,0,0.2631578947368421,0,0,0.098632711,2,2026-08-28T20:09:31.803525+00:00
14,1,Arsenal,midfielder,65,0,0.023809524,0,0.15789473684210525,0.00621118,0.1320116767714022,0.1037037037037037,0.1037037037037037,0,0.15789473684210525,0,0,0.12587412587412586,2,2026-08-28T20:09:31.803525+00:00
15,1,Arsenal,midfielder,66,1,0.18452380952380953,0,0.6842105263157895,0.7639751552795031,0.5602260846196774,0.5555555555555556,0.5555555555555556,0,0.6842105263157895,0,0,0.1820979020979021,2,2026-08-28T20:09:31.803525+00:00
16,1,Arsenal,midfielder,64,0,0.023809524,0,0.15789473684210525,0.3291925465838509,0.1558296740281346,0.16296296296296298,0.16296296296296298,0,0.15789473684210525,0,0,0.080101716,2,2026-08-28T20:09:31.803525+00:00
17,1,Arsenal,midfielder,60,0,0.095238095,0,0.15789473684210525,0.11801242236024843,0.23759739540059904,0.1037037037037037,0.1037037037037037,0,0.15789473684210525,0,0,0.5034965034965034,2,2026-08-28T20:09:31.803525+00:00
